@RELATION bank

@ATTRIBUTE age           numeric
@ATTRIBUTE job           {admin.,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,unknown}
@ATTRIBUTE marital       {divorced,married,single}
@ATTRIBUTE edu           {primary,secondary,tertiary,unknown}
@ATTRIBUTE balance       numeric
@ATTRIBUTE housing       {yes,no}
@ATTRIBUTE contact       {cellular,telephone,unknown}
@ATTRIBUTE day           {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@ATTRIBUTE month         {jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec}
@ATTRIBUTE duration      numeric
@ATTRIBUTE campaign      numeric
@ATTRIBUTE pdays         numeric
@ATTRIBUTE previous      numeric
@ATTRIBUTE poutcome      {failure,other,success,unknown}
@ATTRIBUTE y             {yes,no}

@DATA
55,blue-collar,married,primary,0.17456776352481873,yes,unknown,5,may,0.367624810892587,1,-1,0,unknown,no
67,retired,married,unknown,0.19380925822643613,no,telephone,17,aug,0.17397881996974282,1,105,2,failure,no
56,self-employed,married,secondary,0.21834913552704963,no,cellular,30,jul,0.21936459909228442,2,-1,0,unknown,no
53,admin.,married,secondary,0.029001673173452314,no,cellular,21,aug,0.1059001512859304,2,-1,0,unknown,no
31,technician,married,secondary,0.047406581148912434,no,cellular,27,aug,0.11649016641452345,3,-1,0,unknown,no
59,management,married,secondary,0.01143335192414947,no,cellular,21,nov,0.05446293494704992,1,-1,0,unknown,no
49,technician,married,tertiary,0.3441160066926938,no,cellular,13,aug,0.529500756429652,3,-1,0,unknown,yes
42,admin.,divorced,secondary,0.5047406581148912,yes,unknown,14,may,0.22087745839636913,1,-1,0,unknown,no
78,retired,divorced,primary,0.06358059118795314,no,telephone,22,oct,0.14069591527987896,1,-1,0,unknown,yes
32,blue-collar,married,secondary,0.5822643614054657,yes,cellular,14,nov,0.19364599092284418,1,-1,0,unknown,yes
23,services,single,tertiary,0.10094813162297825,yes,unknown,30,may,0.018154311649016642,18,-1,0,unknown,no
36,management,single,tertiary,0.1539319576129392,no,cellular,11,aug,0.15431164901664146,2,-1,0,unknown,no
52,blue-collar,married,secondary,0.3112102621305075,yes,cellular,13,may,0.546142208774584,1,-1,0,unknown,no
32,technician,married,tertiary,0.11015058561070831,yes,cellular,13,may,0.3040847201210287,3,-1,0,unknown,no
32,technician,single,tertiary,0.6143335192414947,yes,cellular,21,nov,0.01059001512859304,4,-1,0,unknown,no
34,management,single,tertiary,0.24288901282766315,yes,unknown,7,may,0.15279878971255673,2,-1,0,unknown,no
55,blue-collar,married,primary,0.040156162855549356,no,telephone,2,feb,0.0832072617246596,3,5,2,other,no
38,technician,single,secondary,0.013664249860568878,no,cellular,29,aug,0.1422087745839637,2,-1,0,unknown,no
34,technician,married,tertiary,0.42889012827663137,yes,cellular,15,jun,0.6611195158850227,1,56,1,other,yes
53,blue-collar,married,secondary,0.6218627997769102,yes,cellular,14,jul,0.405446293494705,3,-1,0,unknown,no
48,admin.,married,secondary,0.8541550474065811,yes,telephone,15,jul,0.2344931921331316,2,-1,0,unknown,no
57,management,married,secondary,0.022587841606246516,no,telephone,4,feb,0.20574886535552195,1,-1,0,unknown,no
33,self-employed,single,tertiary,0.6006692693809258,no,cellular,17,nov,0.4402420574886536,1,-1,0,unknown,no
36,retired,single,secondary,0.02788622420524261,yes,unknown,26,may,0.4689863842662632,1,-1,0,unknown,no
54,technician,divorced,secondary,0.21834913552704963,yes,unknown,15,may,0.869894099848714,1,-1,0,unknown,no
63,retired,married,secondary,0.1154489682097044,yes,cellular,7,oct,0.4826021180030257,1,-1,0,unknown,no
48,services,married,secondary,0.3775794757389849,no,cellular,4,jul,0.19667170953101362,2,-1,0,unknown,no
51,blue-collar,divorced,secondary,0.05633017289459007,yes,cellular,8,may,0.19667170953101362,1,170,5,failure,no
31,services,married,secondary,0.0939765755716676,yes,cellular,28,jan,0.22844175491679275,1,-1,0,unknown,no
29,technician,married,secondary,0.12353597322922476,yes,cellular,21,jul,0.19062027231467474,4,-1,0,unknown,no
32,technician,single,tertiary,0.10011154489682098,no,cellular,19,nov,0.24205748865355523,2,-1,0,unknown,no
42,entrepreneur,divorced,tertiary,0.0002788622420524261,yes,unknown,5,may,0.5688350983358548,1,-1,0,unknown,no
41,services,married,tertiary,0.11461238148354713,yes,unknown,3,jun,0.22692889561270801,5,-1,0,unknown,no
56,retired,married,secondary,0.09564974902398216,yes,unknown,15,may,0.32829046898638425,1,-1,0,unknown,no
54,management,divorced,tertiary,0.8982152816508645,no,cellular,14,aug,0.09531013615733737,2,-1,0,unknown,no
41,blue-collar,divorced,secondary,0.048243167875069715,yes,cellular,14,may,0.5491679273827534,2,297,1,other,no
40,technician,single,secondary,0.1645287228109314,no,cellular,14,aug,0.12556732223903178,6,-1,0,unknown,no
40,unemployed,married,secondary,0.06079196876742889,yes,cellular,17,nov,0.30257186081694404,2,196,1,failure,no
27,admin.,divorced,secondary,0.12548800892359174,yes,cellular,16,jul,0.9803328290468987,1,-1,0,unknown,yes
60,retired,married,primary,0.0011154489682097045,no,cellular,26,aug,0.08925869894099848,2,-1,0,unknown,no
28,admin.,single,secondary,0.049079754601226995,yes,cellular,6,may,0.22087745839636913,1,-1,0,unknown,no
52,services,married,secondary,0.18293363078639152,no,telephone,7,jul,0.5960665658093798,2,460,2,failure,yes
37,management,married,tertiary,0.3664249860568879,no,cellular,30,jun,0.3328290468986384,1,-1,0,unknown,yes
51,blue-collar,married,primary,0.4085331846068042,yes,unknown,7,may,0.6081694402420574,2,-1,0,unknown,no
41,technician,single,secondary,0.24484104852203012,no,cellular,7,jul,0.08472012102874432,4,-1,0,unknown,no
35,blue-collar,single,primary,0.08142777467930842,yes,unknown,30,may,0.7821482602118003,2,-1,0,unknown,no
38,admin.,married,secondary,0.11795872838817624,yes,cellular,17,apr,0.41603630862329805,1,-1,0,unknown,no
34,blue-collar,married,secondary,0.5103179029559398,yes,unknown,20,may,0.3010590015128593,2,-1,0,unknown,no
39,blue-collar,married,primary,0.03067484662576687,no,cellular,18,nov,0.2980332829046899,2,-1,0,unknown,no
34,blue-collar,married,primary,0.12660345789180144,yes,unknown,20,jun,0.556732223903177,3,-1,0,unknown,no
41,unknown,single,tertiary,0.43669827105409925,no,cellular,1,jul,0.4341906202723147,2,-1,0,unknown,no
30,admin.,single,tertiary,0.07250418293363078,no,cellular,19,oct,0.3464447806354009,1,137,20,failure,no
36,blue-collar,divorced,secondary,0.792526491912995,no,cellular,12,feb,0.7095310136157338,1,182,1,success,no
38,management,single,tertiary,0.13720022308979365,yes,cellular,11,may,0.8305597579425114,1,367,7,failure,no
34,management,single,secondary,0.14584495259341884,no,unknown,13,aug,0.007564296520423601,1,-1,0,unknown,no
32,management,single,tertiary,0.15978806469604015,yes,cellular,14,apr,0.3857791225416036,2,145,3,failure,no
37,blue-collar,married,secondary,0.11879531511433351,yes,unknown,9,jun,0.5552193645990923,3,-1,0,unknown,no
33,self-employed,married,tertiary,0.13441160066926938,yes,cellular,3,feb,0.4175491679273828,2,-1,0,unknown,no
56,unemployed,married,primary,0.9453430005577245,no,cellular,21,apr,0.3615733736762481,1,-1,0,unknown,yes
21,student,single,secondary,0.6935303959843837,no,cellular,30,jun,0.3842662632375189,6,169,3,success,yes
58,management,married,tertiary,0.42275515895147797,yes,telephone,29,jul,0.0045385779122541605,5,-1,0,unknown,no
32,self-employed,married,secondary,0.06023424428332404,yes,cellular,15,jul,0.4735249621785174,5,-1,0,unknown,no
33,blue-collar,single,secondary,0.005856107083100948,no,cellular,30,jan,0.10892586989409984,2,207,1,failure,no
25,student,single,secondary,0.09202453987730061,no,telephone,26,aug,0.25113464447806355,4,-1,0,unknown,yes
25,technician,single,secondary,0.14054656999442275,no,cellular,17,nov,0.5779122541603631,2,-1,0,unknown,yes
30,services,married,secondary,0.5039040713887339,yes,cellular,18,may,0.11951588502269289,2,-1,0,unknown,no
39,blue-collar,married,primary,0.01422197434467373,no,cellular,13,aug,0.09833585476550681,1,-1,0,unknown,no
46,management,divorced,tertiary,0.006692693809258227,no,unknown,17,jun,0.8472012102874432,2,-1,0,unknown,no
31,admin.,divorced,secondary,0.5267707752370329,yes,cellular,21,jul,0.8835098335854765,1,-1,0,unknown,no
45,blue-collar,married,primary,0.1165644171779141,no,cellular,18,aug,0.1649016641452345,4,-1,0,unknown,no
32,technician,married,secondary,0.7506971556051311,yes,unknown,21,may,0.018154311649016642,1,-1,0,unknown,no
24,unemployed,single,secondary,0.03290574456218628,no,unknown,15,sep,0.07110438729198185,1,-1,0,unknown,no
45,technician,single,secondary,0.16313441160066927,no,cellular,28,jul,0.04236006051437216,3,-1,0,unknown,no
32,blue-collar,single,secondary,0.06330172894590072,no,telephone,5,feb,0.26021180030257185,1,288,3,failure,no
41,blue-collar,married,primary,0.04656999442275516,yes,cellular,18,nov,0.27685325264750377,3,-1,0,unknown,no
27,technician,single,secondary,0.21416620189626326,yes,unknown,9,may,0.4735249621785174,2,-1,0,unknown,no
29,admin.,single,secondary,0.11907417735638595,yes,cellular,7,may,0.07564296520423601,1,345,2,failure,no
32,management,divorced,tertiary,0.2640825432236475,no,cellular,12,aug,0.30257186081694404,2,-1,0,unknown,no
56,services,divorced,unknown,0.5231455660903513,yes,unknown,30,may,0.12405446293494705,1,-1,0,unknown,no
31,management,single,tertiary,0.243446737311768,yes,cellular,18,nov,0.2813918305597579,2,-1,0,unknown,no
42,admin.,married,secondary,0.0897936419408812,yes,unknown,8,may,0.4175491679273828,2,-1,0,unknown,no
35,management,married,tertiary,0.02928053541550474,no,cellular,11,aug,0.8835098335854765,2,-1,0,unknown,no
56,retired,married,primary,0.5312325711098718,no,unknown,19,jun,0.06202723146747353,9,-1,0,unknown,no
48,technician,married,secondary,0.3209704406023424,yes,cellular,21,jul,0.2481089258698941,5,-1,0,unknown,no
46,admin.,married,secondary,0.049637479085331844,yes,cellular,29,jan,0.2874432677760968,4,436,1,other,no
37,technician,single,unknown,0.10875627440044618,yes,unknown,8,may,0.14977307110438728,3,-1,0,unknown,no
41,entrepreneur,married,unknown,0.024539877300613498,yes,unknown,6,may,0.4977307110438729,2,-1,0,unknown,no
36,management,single,tertiary,0.12297824874511991,yes,cellular,29,jul,0.14826021180030258,3,-1,0,unknown,no
39,technician,married,secondary,0.13943112102621305,no,unknown,26,may,0.43116490166414523,1,-1,0,unknown,no
35,technician,divorced,secondary,0.08561070831009482,no,cellular,22,aug,0.11043872919818457,2,-1,0,unknown,no
55,admin.,married,secondary,0.1675962074735081,no,cellular,1,jun,0.48411497730711045,3,90,2,success,yes
55,technician,married,secondary,0.0758505298382599,yes,cellular,29,jan,0.12102874432677761,3,183,3,failure,no
27,self-employed,single,secondary,0.013664249860568878,no,cellular,29,jan,0.2481089258698941,1,-1,0,unknown,no
34,technician,married,secondary,0.45733407696597883,yes,cellular,17,apr,0.5688350983358548,1,-1,0,unknown,no
34,blue-collar,married,tertiary,0.005298382598996096,no,unknown,4,oct,0.009077155824508321,1,-1,0,unknown,no
43,services,married,secondary,0.2724484104852203,yes,unknown,26,may,0.11800302571860817,2,-1,0,unknown,no
31,admin.,single,secondary,0.586447295036252,yes,unknown,3,jun,0.6822995461422088,1,-1,0,unknown,no
78,housemaid,married,secondary,0.1388733965421082,no,telephone,16,mar,0.11497730711043873,4,-1,0,unknown,no
45,blue-collar,divorced,secondary,0.3535973229224763,yes,cellular,29,jan,0.8245083207261724,2,-1,0,unknown,no
48,technician,married,tertiary,0.08616843279419967,no,unknown,6,may,0.19818456883509833,1,-1,0,unknown,no
32,blue-collar,single,secondary,0.3184606804238706,yes,cellular,10,jul,0.6172465960665658,1,-1,0,unknown,no
42,technician,married,secondary,0.8307306190741773,no,unknown,20,jun,0.14674735249621784,3,-1,0,unknown,no
37,management,single,tertiary,0.010039040713887339,no,cellular,28,jan,0.3767019667170953,2,-1,0,unknown,no
40,admin.,single,secondary,0.12855549358616844,yes,cellular,6,apr,0.405446293494705,1,335,4,other,no
32,admin.,married,secondary,0.2872281093139989,yes,cellular,17,jul,0.12102874432677761,1,-1,0,unknown,no
37,admin.,married,secondary,0.04880089235917457,yes,cellular,5,may,0.21633888048411498,2,347,1,failure,no
37,unknown,married,unknown,0.4735080870050195,no,unknown,9,jun,0.08925869894099848,1,-1,0,unknown,no
28,technician,single,tertiary,0.047685443390964866,yes,cellular,2,feb,0.2874432677760968,2,-1,0,unknown,no
40,admin.,divorced,secondary,0.0013943112102621305,no,unknown,11,jun,0.20574886535552195,1,-1,0,unknown,no
34,self-employed,married,tertiary,0.5496374790853319,yes,cellular,23,jul,0.08623298033282904,2,-1,0,unknown,no
34,admin.,married,tertiary,0.25041829336307864,yes,telephone,19,nov,0.5642965204236006,3,7,4,success,no
37,services,single,secondary,0.005577244841048522,yes,cellular,2,feb,0.13918305597579425,1,271,2,other,no
36,technician,married,secondary,0.006134969325153374,yes,cellular,8,may,0.22390317700453857,2,347,1,failure,no
33,self-employed,married,secondary,0.05967651979921919,yes,cellular,29,jul,0.8154311649016641,12,-1,0,unknown,no
30,management,single,tertiary,0.3823201338538762,no,cellular,20,nov,0.35703479576399394,2,-1,0,unknown,no
36,services,married,secondary,0.5521472392638037,no,unknown,17,jun,0.06656580937972768,2,-1,0,unknown,no
57,retired,divorced,secondary,0.010596765197992191,yes,cellular,30,jul,0.529500756429652,3,-1,0,unknown,no
38,services,married,secondary,0.0,no,cellular,21,nov,0.22390317700453857,2,-1,0,unknown,no
42,technician,married,tertiary,0.21779141104294478,no,cellular,3,apr,0.42511346444780634,1,-1,0,unknown,no
34,technician,single,tertiary,0.2763524818739543,yes,cellular,4,may,0.4493192133131619,1,88,2,success,no
48,technician,married,secondary,0.4252649191299498,no,cellular,6,aug,0.4069591527987897,2,-1,0,unknown,no
29,blue-collar,single,tertiary,0.12660345789180144,no,telephone,21,apr,0.6036308623298033,1,-1,0,unknown,yes
42,technician,married,secondary,0.5658114891243725,yes,cellular,9,jul,0.29046898638426627,1,-1,0,unknown,no
29,technician,married,secondary,0.4456218627997769,yes,cellular,8,jul,0.16792738275340394,1,61,1,failure,no
56,retired,married,secondary,0.3714445064138316,no,cellular,28,aug,0.019667170953101363,14,-1,0,unknown,no
38,technician,married,tertiary,0.12018962632459565,yes,cellular,15,may,0.009077155824508321,2,373,1,other,no
42,management,married,tertiary,0.10345789180145008,yes,cellular,3,aug,0.983358547655068,2,-1,0,unknown,yes
45,technician,married,secondary,0.3929168990518684,no,cellular,11,aug,0.10136157337367625,2,-1,0,unknown,no
30,blue-collar,married,secondary,0.271611823759063,yes,cellular,13,may,0.3812405446293495,2,351,2,failure,no
49,services,married,secondary,0.11126603457891801,no,cellular,21,aug,0.22239031770045387,3,-1,0,unknown,no
49,blue-collar,married,primary,0.1015058561070831,no,unknown,26,may,0.0832072617246596,2,-1,0,unknown,no
41,self-employed,married,primary,0.0566090351366425,no,cellular,13,aug,0.16187594553706505,7,-1,0,unknown,no
54,management,married,primary,0.4712771890686001,yes,cellular,20,nov,0.2753403933434191,1,-1,0,unknown,no
32,services,single,secondary,0.11293920803123257,yes,unknown,6,may,0.3373676248108926,1,-1,0,unknown,no
33,technician,married,secondary,0.09983268265476855,yes,cellular,20,apr,0.31164901664145234,1,242,1,other,no
36,blue-collar,married,primary,0.03402119353039598,yes,cellular,18,may,0.007564296520423601,1,-1,0,unknown,no
52,unknown,married,secondary,0.03931957612939208,no,cellular,25,aug,0.16338880484114976,6,-1,0,unknown,no
40,entrepreneur,married,tertiary,0.9955382041271612,no,unknown,9,jun,0.329803328290469,3,-1,0,unknown,no
44,technician,single,secondary,0.008923591745677636,yes,cellular,13,may,0.28895612708018154,3,351,10,failure,no
30,student,single,secondary,0.8630786391522588,no,cellular,26,jan,0.1800302571860817,1,-1,0,unknown,no
48,technician,divorced,secondary,0.005298382598996096,no,cellular,27,aug,0.21331316187594554,3,-1,0,unknown,no
33,blue-collar,married,secondary,0.9969325153374233,yes,cellular,2,apr,0.1815431164901664,1,308,2,other,no
57,technician,married,unknown,0.057166759620747354,yes,unknown,5,may,0.3207261724659607,3,-1,0,unknown,no
51,unemployed,married,tertiary,0.4553820412716118,yes,cellular,22,jul,0.2481089258698941,4,-1,0,unknown,no
34,admin.,single,secondary,0.0,yes,cellular,22,jul,0.7246596066565809,7,-1,0,unknown,no
42,management,married,tertiary,0.1346904629113218,yes,cellular,11,jul,0.2118003025718608,2,-1,0,unknown,no
31,management,married,tertiary,0.10987172336865589,yes,cellular,9,feb,0.22844175491679275,3,-1,0,unknown,no
32,management,married,tertiary,0.6547685443390965,no,cellular,14,aug,0.19667170953101362,5,-1,0,unknown,no
55,blue-collar,divorced,primary,0.11405465699944227,no,cellular,11,jul,0.32829046898638425,2,-1,0,unknown,no
58,retired,married,primary,0.9481316229782487,yes,cellular,3,feb,0.12102874432677761,3,265,2,failure,no
46,blue-collar,married,primary,0.061628555493586167,no,cellular,8,aug,0.10136157337367625,2,-1,0,unknown,no
55,blue-collar,married,secondary,0.275515895147797,yes,unknown,23,may,0.3661119515885023,4,-1,0,unknown,no
34,management,married,tertiary,0.1154489682097044,no,cellular,23,jul,0.540090771558245,2,-1,0,unknown,no
28,unemployed,single,secondary,0.004182933630786392,no,cellular,12,aug,0.17397881996974282,4,-1,0,unknown,no
54,housemaid,married,secondary,0.05800334634690463,yes,cellular,25,jul,0.14069591527987896,1,-1,0,unknown,no
53,entrepreneur,married,tertiary,0.17373117679866146,no,cellular,21,jul,0.26626323751891073,4,-1,0,unknown,no
58,technician,married,tertiary,0.24595649749023982,no,cellular,18,aug,0.8154311649016641,1,78,2,failure,no
40,self-employed,married,secondary,0.42247629670942555,yes,unknown,23,may,0.5582450832072617,1,-1,0,unknown,no
29,student,single,secondary,0.24288901282766315,yes,unknown,7,may,0.34190620272314676,1,-1,0,unknown,no
38,admin.,single,secondary,0.2512548800892359,yes,telephone,31,jul,0.08169440242057488,13,-1,0,unknown,no
56,services,divorced,secondary,0.28053541550474065,no,cellular,29,jul,0.12708018154311648,6,-1,0,unknown,no
24,blue-collar,single,secondary,0.048243167875069715,yes,cellular,18,may,0.7307110438729199,1,-1,0,unknown,yes
35,self-employed,married,secondary,0.14584495259341884,yes,cellular,21,nov,0.7261724659606656,4,-1,0,unknown,no
34,technician,married,secondary,0.0008365867261572784,yes,unknown,15,may,0.9682299546142209,1,-1,0,unknown,no
51,blue-collar,divorced,primary,0.010039040713887339,yes,cellular,13,may,0.5098335854765507,1,-1,0,unknown,no
59,self-employed,married,tertiary,0.16508644729503624,no,unknown,13,may,0.0907715582450832,2,-1,0,unknown,no
32,blue-collar,married,secondary,0.3198549916341327,yes,cellular,20,apr,0.17700453857791226,1,-1,0,unknown,no
37,blue-collar,single,secondary,0.992749581706637,yes,unknown,2,jun,0.1422087745839637,1,-1,0,unknown,no
42,admin.,divorced,secondary,0.01728945900725042,no,unknown,16,may,0.12708018154311648,6,-1,0,unknown,no
40,student,married,secondary,0.07222532069157836,no,unknown,20,jun,0.291981845688351,6,-1,0,unknown,no
28,technician,single,tertiary,0.6324595649749024,yes,unknown,9,may,0.4947049924357035,1,-1,0,unknown,no
47,admin.,married,secondary,0.29531511433351926,yes,unknown,6,jun,0.11951588502269289,3,-1,0,unknown,no
41,management,married,tertiary,0.013385387618516454,yes,cellular,17,jul,0.4659606656580938,5,-1,0,unknown,no
34,admin.,married,tertiary,0.018962632459564976,no,cellular,4,aug,0.17549167927382753,3,1,6,success,yes
47,blue-collar,married,secondary,0.1335750139431121,yes,unknown,28,may,0.31316187594553707,2,-1,0,unknown,no
29,management,married,tertiary,0.12548800892359174,no,cellular,28,jan,0.6762481089258698,1,-1,0,unknown,no
32,blue-collar,married,secondary,0.21137757947573899,yes,cellular,9,apr,0.4735249621785174,5,-1,0,unknown,yes
65,retired,divorced,primary,0.5128276631344116,no,cellular,1,jun,0.573373676248109,2,188,5,failure,no
56,blue-collar,married,secondary,0.09592861126603458,yes,telephone,22,jul,0.9092284417549168,1,-1,0,unknown,no
35,blue-collar,married,secondary,0.35861684327941995,yes,cellular,14,jul,0.49319213313161875,2,-1,0,unknown,no
56,management,married,unknown,0.09815950920245399,no,cellular,25,jul,0.2526475037821483,2,-1,0,unknown,no
56,technician,married,secondary,0.05688789737869492,no,cellular,23,jul,0.6626323751891074,2,-1,0,unknown,no
38,unemployed,married,primary,0.3195761293920803,yes,unknown,8,may,0.37065052950075644,5,-1,0,unknown,no
38,admin.,married,tertiary,0.16843279419966536,no,cellular,18,nov,0.21633888048411498,2,-1,0,unknown,no
55,management,married,unknown,0.15560513106525375,no,cellular,28,jan,0.4039334341906203,2,-1,0,unknown,no
43,management,married,tertiary,0.0002788622420524261,no,cellular,20,aug,0.708018154311649,2,-1,0,unknown,no
25,admin.,single,tertiary,0.2116564417177914,yes,cellular,27,may,0.3313161875945537,3,89,2,failure,yes
30,blue-collar,married,primary,0.36698271054099274,yes,unknown,21,may,0.5915279878971256,2,-1,0,unknown,no
46,blue-collar,married,secondary,0.050474065811489124,no,cellular,4,feb,0.07866868381240545,1,-1,0,unknown,no
50,admin.,married,primary,0.07668711656441718,no,unknown,17,jun,0.9636913767019667,6,-1,0,unknown,no
35,entrepreneur,married,secondary,0.8282208588957055,no,cellular,4,may,0.642965204236006,4,164,2,failure,yes
26,unemployed,single,secondary,0.29643056330172896,no,unknown,31,may,0.1649016641452345,1,-1,0,unknown,no
45,admin.,married,unknown,0.49693251533742333,no,unknown,20,jun,0.01059001512859304,11,-1,0,unknown,no
60,self-employed,single,tertiary,0.049637479085331844,no,cellular,29,jul,0.11346444780635401,4,-1,0,unknown,no
38,management,married,tertiary,0.3340769659788065,no,cellular,4,aug,0.2632375189107413,1,1,1,success,yes
47,blue-collar,married,primary,0.05939765755716676,yes,unknown,9,jun,0.2481089258698941,1,-1,0,unknown,no
51,unemployed,married,secondary,0.4905186837702175,no,cellular,19,nov,0.23903177004538578,1,-1,0,unknown,no
48,admin.,single,secondary,0.3204127161182376,yes,unknown,28,may,0.5340393343419062,1,-1,0,unknown,no
37,admin.,married,secondary,0.03346346904629113,no,cellular,22,jul,0.02723146747352496,6,-1,0,unknown,no
29,technician,single,tertiary,0.2306190741773564,yes,cellular,16,apr,0.31921331316187596,3,321,3,other,no
34,admin.,married,secondary,0.06776352481873954,yes,cellular,31,jul,0.07866868381240545,4,-1,0,unknown,no
30,management,single,tertiary,0.11795872838817624,no,cellular,16,apr,0.44478063540090773,4,-1,0,unknown,yes
47,management,divorced,tertiary,0.12437255995538204,no,unknown,7,may,0.18456883509833585,1,-1,0,unknown,no
33,management,single,tertiary,0.3929168990518684,yes,cellular,5,feb,0.006051437216338881,1,254,5,failure,no
63,retired,married,primary,0.30200780814277745,no,cellular,14,oct,0.2980332829046899,1,183,1,success,no
41,management,married,tertiary,0.23173452314556608,yes,cellular,21,nov,0.24205748865355523,1,176,1,failure,no
56,retired,married,tertiary,0.13301728945900726,no,cellular,5,feb,0.14069591527987896,1,-1,0,unknown,no
37,management,single,unknown,0.14026770775237032,yes,cellular,16,apr,0.8335854765506808,1,-1,0,unknown,no
36,blue-collar,single,secondary,0.06079196876742889,yes,cellular,11,may,0.40242057488653554,2,347,1,failure,no
57,management,married,tertiary,0.44645844952593416,no,cellular,29,jul,0.5068078668683812,3,-1,0,unknown,no
55,management,married,primary,0.7211377579475738,no,cellular,4,sep,0.49016641452344933,2,94,2,success,yes
47,self-employed,married,tertiary,0.6419408812046848,yes,cellular,6,may,0.4826021180030257,2,364,1,failure,no
31,blue-collar,married,secondary,0.4626324595649749,yes,cellular,20,apr,0.5113464447806354,1,-1,0,unknown,no
35,management,married,tertiary,0.00864472950362521,yes,cellular,21,nov,0.26626323751891073,1,-1,0,unknown,no
39,management,married,tertiary,0.07724484104852203,no,cellular,28,jul,0.08472012102874432,3,-1,0,unknown,no
50,management,married,tertiary,0.0008365867261572784,no,cellular,17,nov,0.3313161875945537,1,96,2,failure,no
30,services,single,secondary,0.05800334634690463,yes,unknown,6,may,0.039334341906202726,2,-1,0,unknown,no
46,services,married,secondary,0.07529280535415504,yes,unknown,16,may,0.19667170953101362,4,-1,0,unknown,no
27,management,single,unknown,0.8909648633575014,no,cellular,9,feb,0.009077155824508321,2,-1,0,unknown,no
26,student,single,secondary,0.7169548243167875,yes,cellular,5,may,0.9319213313161876,1,-1,0,unknown,no
36,management,single,tertiary,0.09425543781372002,no,cellular,21,nov,0.0030257186081694403,6,-1,0,unknown,no
50,housemaid,married,primary,0.10987172336865589,yes,unknown,15,may,0.6278366111951589,2,-1,0,unknown,no
49,blue-collar,married,secondary,0.5683212493028444,yes,cellular,18,nov,0.42208774583963693,2,-1,0,unknown,no
23,student,single,secondary,0.21723368655883993,no,cellular,16,sep,0.3978819969742814,1,-1,0,unknown,no
